x,y,p,u,v
0.05,0.05,15556,0.868436,0.131564
0.15,0.05,12265.5,0.625049,0.111823
0.25,0.05,10762.4,0.442985,0.0702412
0.35,0.05,10029.1,0.330441,0.0423034
0.45,0.05,9634.78,0.26186,0.0262776
0.55,0.05,9397.64,0.2184,0.0171818
0.65,0.05,9239.24,0.18943,0.011788
0.75,0.05,9123.81,0.169264,0.00837865
0.85,0.05,9033.69,0.154813,0.00607253
0.95,0.05,8959.34,0.144334,0.00440581
1.05,0.05,8895.1,0.136809,0.00311947
1.15,0.05,8837.27,0.131632,0.00205717
1.25,0.05,8783.19,0.128459,0.00111578
1.35,0.05,8730.7,0.127123,0.00022105
1.45,0.05,8677.73,0.127586,-0.000684374
1.55,0.05,8622.11,0.129916,-0.00164583
1.65,0.05,8561.27,0.134259,-0.00269672
1.75,0.05,8492.05,0.14081,-0.00385451
1.85,0.05,8410.54,0.149778,-0.00511317
1.95,0.05,8312,0.161324,-0.00643306
2.05,0.05,8190.93,0.175488,-0.00773086
2.15,0.05,8041.44,0.192093,-0.00887462
2.25,0.05,7857.92,0.21066,-0.00969174
2.35,0.05,7636.05,0.230349,-0.00999746
2.45,0.05,7374.03,0.249992,-0.00964588
2.55,0.05,7073.57,0.268228,-0.00858978
2.65,0.05,6740.25,0.283735,-0.00691715
2.75,0.05,6382.88,0.295482,-0.00483061
2.85,0.05,6012.04,0.302886,-0.00257291
2.95,0.05,5638.42,0.305809,-0.000349951
3.05,0.05,5271.55,0.304452,0.00170671
3.15,0.05,4919.24,0.299213,0.00353239
3.25,0.05,4587.58,0.290584,0.00509669
3.35,0.05,4281.07,0.279115,0.00637215
3.45,0.05,4002.81,0.265418,0.00732439
3.55,0.05,3754.49,0.250169,0.00792547
3.65,0.05,3536.39,0.234071,0.00817236
3.75,0.05,3347.46,0.217804,0.00809479
3.85,0.05,3185.57,0.201959,0.00774964
3.95,0.05,3047.86,0.187002,0.00720801
4.05,0.05,2931.12,0.173252,0.00654197
4.15,0.05,2832.07,0.160895,0.00581509
4.25,0.05,2747.6,0.150002,0.00507771
4.35,0.05,2674.91,0.140558,0.00436603
4.45,0.05,2611.56,0.132488,0.00370348
4.55,0.05,2555.49,0.125682,0.00310321
4.65,0.05,2505,0.120008,0.00257078
4.75,0.05,2458.72,0.115331,0.00210645
4.85,0.05,2415.53,0.111517,0.00170714
4.95,0.05,2374.58,0.108442,0.00136783
5.05,0.05,2335.18,0.105992,0.00108253
5.15,0.05,2296.8,0.104064,0.000844964
5.25,0.05,2259.04,0.10257,0.00064898
5.35,0.05,2221.62,0.101432,0.000488795
5.45,0.05,2184.31,0.100585,0.000359128
5.55,0.05,2146.95,0.0999702,0.000255246
5.65,0.05,2109.44,0.099542,0.000172976
5.75,0.05,2071.7,0.0992603,0.00010868
5.85,0.05,2033.7,0.0990924,5.92167e-05
5.95,0.05,1995.42,0.0990113,2.18964e-05
6.05,0.05,1956.84,0.098995,-5.56666e-06
6.15,0.05,1917.99,0.0990256,-2.5102e-05
6.25,0.05,1878.88,0.0990891,-3.83272e-05
6.35,0.05,1839.52,0.099174,-4.65897e-05
6.45,0.05,1799.95,0.0992716,-5.10045e-05
6.55,0.05,1760.18,0.0993751,-5.24875e-05
6.65,0.05,1720.24,0.0994794,-5.17853e-05
6.75,0.05,1680.16,0.0995806,-4.9502e-05
6.85,0.05,1639.97,0.0996763,-4.61214e-05
6.95,0.05,1599.67,0.0997644,-4.20274e-05
7.05,0.05,1559.3,0.099844,-3.75202e-05
7.15,0.05,1518.87,0.0999143,-3.2832e-05
7.25,0.05,1478.4,0.0999753,-2.81384e-05
7.35,0.05,1437.9,0.100027,-2.35694e-05
7.45,0.05,1397.39,0.10007,-1.92181e-05
7.55,0.05,1356.87,0.100104,-1.51481e-05
7.65,0.05,1316.35,0.100131,-1.13997e-05
7.75,0.05,1275.84,0.10015,-7.99489e-06
7.85,0.05,1235.36,0.100163,-4.94146e-06
7.95,0.05,1194.89,0.10017,-2.23656e-06
8.05,0.05,1154.45,0.100172,1.3063e-07
8.15,0.05,1114.03,0.10017,2.17673e-06
8.25,0.05,1073.65,0.100164,3.92241e-06
8.35,0.05,1033.29,0.100155,5.39103e-06
8.45,0.05,992.971,0.100143,6.60765e-06
8.55,0.05,952.68,0.100128,7.59833e-06
8.65,0.05,912.421,0.100112,8.3896e-06
8.75,0.05,872.192,0.100095,9.00823e-06
8.85,0.05,831.992,0.100077,9.48119e-06
8.95,0.05,791.822,0.100057,9.83571e-06
9.05,0.05,751.679,0.100037,1.00997e-05
9.15,0.05,711.562,0.100017,1.03022e-05
9.25,0.05,671.469,0.0999961,1.04743e-05
9.35,0.05,631.401,0.099975,1.06503e-05
9.45,0.05,591.354,0.0999535,1.08688e-05
9.55,0.05,551.329,0.0999314,1.11755e-05
9.65,0.05,511.323,0.0999086,1.16253e-05
9.75,0.05,471.337,0.0998847,1.22861e-05
9.85,0.05,431.368,0.0998592,1.32442e-05
9.95,0.05,391.418,0.0998314,1.46105e-05
10.05,0.05,351.486,0.0998002,1.65298e-05
10.15,0.05,311.574,0.0997645,1.91928e-05
10.25,0.05,271.682,0.0997225,2.28523e-05
10.35,0.05,231.816,0.0996718,2.78438e-05
10.45,0.05,191.979,0.0996093,3.46122e-05
10.55,0.05,152.183,0.099531,4.37421e-05
10.65,0.05,112.442,0.0994312,5.59904e-05
10.75,0.05,72.7815,0.099303,7.231e-05
10.85,0.05,33.2385,0.0991368,9.38409e-05
10.95,0.05,-6.12757,0.0989212,0.00012182
11.05,0.05,-45.2267,0.098642,0.000157305
11.15,0.05,-83.9252,0.0982842,0.000200498
11.25,0.05,-122.032,0.0978345,0.00024928
11.35,0.05,-159.294,0.097289,0.000296209
11.45,0.05,-195.43,0.09667,0.000322822
11.55,0.05,-230.263,0.096057,0.000290155
11.65,0.05,-264.155,0.0956383,0.00012854
11.75,0.05,-299.123,0.0957549,-0.00024512
11.85,0.05,-341.493,0.0967335,-0.000733428
11.95,0.05,-450.951,0.097467,-7.14425e-08
0.05,0.15,12867.2,1.0123,0.250833
0.15,0.15,11756.3,0.979598,0.268638
0.25,0.15,10822.5,0.872858,0.202229
0.35,0.15,10198.8,0.754889,0.140829
0.45,0.15,9795.37,0.653667,0.0975558
0.55,0.15,9526.82,0.574186,0.0688441
0.65,0.15,9338.86,0.513581,0.0497004
0.75,0.15,9199.84,0.467683,0.0365303
0.85,0.15,9091.41,0.432979,0.0270761
0.95,0.15,9002.62,0.406906,0.0199542
1.05,0.15,8926.57,0.387705,0.0142973
1.15,0.15,8858.62,0.374226,0.00953457
1.25,0.15,8795.42,0.365772,0.00526575
1.35,0.15,8734.24,0.361989,0.00119079
1.45,0.15,8672.61,0.362798,-0.00292663
1.55,0.15,8608.03,0.368338,-0.00727382
1.65,0.15,8537.73,0.378914,-0.0119868
1.75,0.15,8458.5,0.394931,-0.0171326
1.85,0.15,8366.56,0.416806,-0.0226783
1.95,0.15,8257.53,0.444842,-0.02845
2.05,0.15,8126.55,0.479057,-0.034093
2.15,0.15,7968.61,0.518991,-0.039052
2.25,0.15,7779.16,0.563514,-0.0426031
2.35,0.15,7554.95,0.610708,-0.0439697
2.45,0.15,7294.96,0.657923,-0.0425317
2.55,0.15,7001.22,0.702061,-0.0380777
2.65,0.15,6678.94,0.74009,-0.0309658
2.75,0.15,6335.99,0.769603,-0.0220426
2.85,0.15,5981.67,0.789162,-0.0123229
2.95,0.15,5625.36,0.798306,-0.00266686
3.05,0.15,5275.51,0.797314,0.00637184
3.15,0.15,4939.19,0.78691,0.0145103
3.25,0.15,4621.91,0.76806,0.0215977
3.35,0.15,4327.75,0.741916,0.0274841
3.45,0.15,4059.39,0.709842,0.0319831
3.55,0.15,3818.22,0.673419,0.0349396
3.65,0.15,3604.36,0.63436,0.0363148
3.75,0.15,3416.86,0.594358,0.036222
3.85,0.15,3253.89,0.554924,0.0349004
3.95,0.15,3113.09,0.517281,0.0326578
4.05,0.15,2991.79,0.482312,0.0298117
4.15,0.15,2887.23,0.450567,0.026647
4.25,0.15,2796.8,0.422313,0.0233931
4.35,0.15,2718.05,0.397588,0.020219
4.45,0.15,2648.83,0.376271,0.0172373
4.55,0.15,2587.27,0.358132,0.0145148
4.65,0.15,2531.77,0.342882,0.012083
4.75,0.15,2481.02,0.330205,0.00994884
4.85,0.15,2433.9,0.31978,0.00810295
4.95,0.15,2389.54,0.311301,0.00652598
5.05,0.15,2347.23,0.304483,0.0051933
5.15,0.15,2306.38,0.299066,0.00407819
5.25,0.15,2266.56,0.294822,0.00315387
5.35,0.15,2227.43,0.291549,0.00239478
5.45,0.15,2188.7,0.289073,0.00177729
5.55,0.15,2150.2,0.287244,0.00128002
5.65,0.15,2111.76,0.285937,0.000883985
5.75,0.15,2073.29,0.285043,0.000572523
5.85,0.15,2034.71,0.284476,0.000331162
5.95,0.15,1995.98,0.284159,0.000147452
6.05,0.15,1957.06,0.284034,1.07616e-05
6.15,0.15,1917.96,0.284049,-8.79207e-05
6.25,0.15,1878.66,0.284167,-0.000156183
6.35,0.15,1839.18,0.284353,-0.000200371
6.45,0.15,1799.53,0.284584,-0.000225757
6.55,0.15,1759.71,0.28484,-0.000236692
6.65,0.15,1719.76,0.285105,-0.00023674
6.75,0.15,1679.69,0.285368,-0.000228796
6.85,0.15,1639.51,0.28562,-0.000215192
6.95,0.15,1599.24,0.285857,-0.000197791
7.05,0.15,1558.91,0.286074,-0.00017806
7.15,0.15,1518.52,0.286268,-0.000157141
7.25,0.15,1478.09,0.286439,-0.000135908
7.35,0.15,1437.63,0.286587,-0.000115016
7.45,0.15,1397.16,0.286711,-9.49418e-05
7.55,0.15,1356.68,0.286814,-7.60206e-05
7.65,0.15,1316.2,0.286895,-5.84726e-05
7.75,0.15,1275.73,0.286957,-4.24283e-05
7.85,0.15,1235.27,0.287002,-2.79482e-05
7.95,0.15,1194.84,0.28703,-1.50394e-05
8.05,0.15,1154.42,0.287045,-3.66802e-06
8.15,0.15,1114.03,0.287047,6.22931e-06
8.25,0.15,1073.66,0.287038,1.47376e-05
