x,y,p,u,v
0.05,0.05,1818.33,0.959449,0.0405511
0.15,0.05,1718.11,0.868268,0.0506298
0.25,0.05,1653.3,0.767156,0.0504822
0.35,0.05,1603.69,0.670462,0.0462122
0.45,0.05,1563.02,0.584145,0.040104
0.55,0.05,1529.31,0.510719,0.0333225
0.65,0.05,1501.7,0.450772,0.0266242
0.75,0.05,1479.42,0.403625,0.0205229
0.85,0.05,1461.49,0.367785,0.0153173
0.95,0.05,1446.8,0.341357,0.0111108
1.05,0.05,1434.26,0.322392,0.00785397
1.15,0.05,1422.94,0.309133,0.00540567
1.25,0.05,1412.15,0.300137,0.00359012
1.35,0.05,1401.39,0.294308,0.00223863
1.45,0.05,1390.35,0.290858,0.0012114
1.55,0.05,1378.84,0.289243,0.000403744
1.65,0.05,1366.71,0.289096,-0.000256955
1.75,0.05,1353.9,0.290171,-0.000818028
1.85,0.05,1340.33,0.292298,-0.00130863
1.95,0.05,1325.95,0.295352,-0.00174564
2.05,0.05,1310.72,0.299236,-0.00213798
2.15,0.05,1294.58,0.303863,-0.00248946
2.25,0.05,1277.5,0.309153,-0.00280061
2.35,0.05,1259.45,0.315024,-0.00306979
2.45,0.05,1240.4,0.321387,-0.00329394
2.55,0.05,1220.34,0.32815,-0.00346902
2.65,0.05,1199.27,0.33521,-0.00359043
2.75,0.05,1177.21,0.342454,-0.00365337
2.85,0.05,1154.18,0.34976,-0.00365323
2.95,0.05,1130.26,0.356999,-0.00358598
3.05,0.05,1105.5,0.364034,-0.00344856
3.15,0.05,1080.03,0.370722,-0.00323928
3.25,0.05,1053.94,0.376919,-0.00295813
3.35,0.05,1027.4,0.382484,-0.00260701
3.45,0.05,1000.56,0.387281,-0.00218989
3.55,0.05,973.605,0.391184,-0.00171273
3.65,0.05,946.723,0.39408,-0.00118339
3.75,0.05,920.114,0.395875,-0.000611289
3.85,0.05,893.978,0.396493,-6.99655e-06
3.95,0.05,868.515,0.395882,0.00061824
4.05,0.05,843.913,0.39401,0.00125301
4.15,0.05,820.351,0.390871,0.00188621
4.25,0.05,797.99,0.386477,0.00250751
4.35,0.05,776.973,0.380862,0.00310765
4.45,0.05,757.421,0.374076,0.00367871
4.55,0.05,739.436,0.366183,0.00421419
4.65,0.05,723.094,0.35726,0.00470906
4.75,0.05,708.452,0.347391,0.00515969
4.85,0.05,695.542,0.336668,0.00556371
4.95,0.05,684.381,0.325184,0.00591986
5.05,0.05,674.963,0.313036,0.00622776
5.15,0.05,667.266,0.300321,0.00648778
5.25,0.05,661.254,0.287132,0.00670083
5.35,0.05,656.874,0.273563,0.00686824
