x,y,p,u,v
0.05,0.05,1788.82,0.959442,0.0405571
0.15,0.05,1693.72,0.868243,0.05064
0.25,0.05,1622.68,0.767104,0.050498
0.35,0.05,1573.58,0.670383,0.0462209
0.45,0.05,1534.25,0.584054,0.0401065
0.55,0.05,1501.09,0.510623,0.0333237
0.65,0.05,1473.56,0.450671,0.0266264
0.75,0.05,1451.25,0.403516,0.0205258
0.85,0.05,1433.31,0.367668,0.0153202
0.95,0.05,1418.63,0.341233,0.0111131
1.05,0.05,1406.12,0.322262,0.00785621
1.15,0.05,1394.83,0.308995,0.00540847
1.25,0.05,1384.06,0.29999,0.00359403
1.35,0.05,1373.32,0.29415,0.00224373
1.45,0.05,1362.3,0.290687,0.00121762
1.55,0.05,1350.79,0.289056,0.000410613
1.65,0.05,1338.67,0.288893,-0.0002497
1.75,0.05,1325.87,0.289951,-0.00081069
1.85,0.05,1312.3,0.292061,-0.00130143
1.95,0.05,1297.93,0.295099,-0.00173881
2.05,0.05,1282.7,0.298967,-0.00213175
2.15,0.05,1266.57,0.303581,-0.00248376
2.25,0.05,1249.5,0.308858,-0.00279553
2.35,0.05,1231.46,0.314717,-0.00306549
2.45,0.05,1212.42,0.32107,-0.00329035
2.55,0.05,1192.37,0.327825,-0.00346614
2.65,0.05,1171.32,0.334877,-0.00358833
2.75,0.05,1149.27,0.342116,-0.00365204
2.85,0.05,1126.26,0.349418,-0.00365259
2.95,0.05,1102.35,0.356655,-0.00358607
3.05,0.05,1077.61,0.363689,-0.00344925
3.15,0.05,1052.16,0.370377,-0.00324062
3.25,0.05,1026.1,0.376575,-0.00295999
3.35,0.05,999.586,0.382143,-0.00260937
3.45,0.05,972.782,0.386943,-0.00219266
3.55,0.05,945.869,0.39085,-0.00171583
3.65,0.05,919.038,0.393751,-0.00118675
3.75,0.05,892.489,0.395551,-0.000614796
3.85,0.05,866.424,0.396174,-1.0501e-05
3.95,0.05,841.04,0.395569,0.000614705
4.05,0.05,816.53,0.393703,0.0012494
4.15,0.05,793.07,0.390569,0.0018826
4.25,0.05,770.823,0.386181,0.00250385
4.35,0.05,749.931,0.380572,0.00310385
4.45,0.05,730.516,0.373792,0.00367457
4.55,0.05,712.676,0.365906,0.0042096
4.65,0.05,696.489,0.356991,0.00470375
4.75,0.05,682.007,0.347132,0.00515341
4.85,0.05,669.263,0.336421,0.00555621
4.95,0.05,658.272,0.324952,0.00591083
5.05,0.05,649.025,0.312823,0.00621691
5.15,0.05,641.495,0.30013,0.00647474
5.25,0.05,635.643,0.286968,0.0066853
5.35,0.05,631.414,0.273431,0.00684991
5.45,0.05,628.742,0.25961,0.00697004
5.55,0.05,627.548,0.24559,0.00704797
5.65,0.05,627.751,0.231454,0.00708654
5.75,0.05,629.254,0.217275,0.00709101
5.85,0.05,631.952,0.203107,0.00707539
5.95,0.05,635.686,0.189024,0.00700532
6.05,0.05,640.411,0.175125,0.00689213
6.15,0.05,646.028,0.161485,0.00674676
6.25,0.05,652.427,0.148162,0.00657434
6.35,0.05,659.5,0.135208,0.00637802
6.45,0.05,667.141,0.122668,0.00616025
6.55,0.05,675.248,0.110583,0.00592349
6.65,0.05,683.727,0.0989875,0.00567035
6.75,0.05,692.485,0.0879119,0.00540371
6.85,0.05,701.436,0.0773833,0.0051233
6.95,0.05,710.501,0.0674248,0.0048337
7.05,0.05,719.608,0.0580538,0.00453592
7.15,0.05,728.684,0.0492941,0.00422244
7.25,0.05,737.661,0.0411959,0.00387442
7.35,0.05,746.449,0.0337138,0.0036065
7.45,0.05,755.018,0.026757,0.00334917
7.55,0.05,763.378,0.020337,0.00306978
7.65,0.05,771.515,0.0144893,0.002777
7.75,0.05,779.411,0.00923481,0.00247661
7.85,0.05,787.046,0.00458163,0.00217577
7.95,0.05,794.398,0.000522015,0.00188313
8.05,0.05,801.455,-0.00305021,0.00168846
8.15,0.05,808.236,-0.00627346,0.00153423
8.25,0.05,814.807,-0.00919752,0.00138936
8.35,0.05,821.271,-0.0118078,0.0012205
8.45,0.05,827.779,-0.0139775,0.000948864
8.55,0.05,834.545,-0.0152764,0.000349877
8.65,0.05,841.835,-0.014588,-0.00103841
8.75,0.05,849.872,-0.00952962,-0.00402005
8.85,0.05,858.581,0.00445698,-0.00996649
8.95,0.05,867.021,0.0353399,-0.0209163
9.05,0.05,872.087,0.0987302,-0.0424737
9.15,0.05,862.904,0.221633,-0.0804284
9.25,0.05,817.253,0.423743,-0.121681
9.35,0.05,685.669,0.690413,-0.144989
9.45,0.05,409.136,0.915701,-0.0802988
9.55,0.05,121.091,1.02004,-0.0240425
9.65,0.05,-97.9593,1.03337,0.0107166
9.75,0.05,-246.46,0.994565,0.0280892
9.85,0.05,-349.232,0.932403,0.0340739
9.95,0.05,-427.752,0.864782,0.0335486
10.05,0.05,-494.065,0.801277,0.0299573
10.15,0.05,-553.421,0.745705,0.0256171
10.25,0.05,-607.562,0.698012,0.0220779
10.35,0.05,-656.586,0.655558,0.0203776
10.45,0.05,-699.589,0.614172,0.0210113
10.55,0.05,-734.86,0.569919,0.0232443
10.65,0.05,-760.679,0.522175,0.0245015
10.75,0.05,-777.638,0.47316,0.0245166
10.85,0.05,-787.043,0.424709,0.023938
10.95,0.05,-790.088,0.377502,0.0232727
11.05,0.05,-787.941,0.331596,0.0226366
11.15,0.05,-781.124,0.28707,0.0218939
11.25,0.05,-771.012,0.244249,0.0209314
11.35,0.05,-759.175,0.203657,0.0196659
11.45,0.05,-746.698,0.166096,0.0179008
11.55,0.05,-733.78,0.132344,0.0158573
11.65,0.05,-720.022,0.102707,0.013786
11.75,0.05,-705.964,0.0770757,0.0118523
11.85,0.05,-692.102,0.05517,0.0100611
11.95,0.05,-678.509,0.0368458,0.00827102
12.05,0.05,-665.3,0.0214973,0.00708538
12.15,0.05,-652.509,0.00855824,0.00586177
12.25,0.05,-640.18,-0.00181347,0.00451808
12.35,0.05,-628.379,-0.00961148,0.00328813
12.45,0.05,-617.168,-0.0154263,0.00253495
12.55,0.05,-606.569,-0.0199504,0.00199747
12.65,0.05,-596.572,-0.023445,0.00150558
12.75,0.05,-587.147,-0.026006,0.00106379
12.85,0.05,-578.26,-0.027784,0.000722679
12.95,0.05,-569.877,-0.0289355,0.000437384
13.05,0.05,-561.973,-0.0295327,0.000168347
13.15,0.05,-554.52,-0.0295956,-9.68564e-05
13.25,0.05,-547.495,-0.0291287,-0.000361444
13.35,0.05,-540.874,-0.0281326,-0.000626082
13.45,0.05,-534.632,-0.0266066,-0.000891246
13.55,0.05,-528.75,-0.0245485,-0.00115814
13.65,0.05,-523.211,-0.0219526,-0.00142908
13.75,0.05,-517.997,-0.0188087,-0.00170617
13.85,0.05,-513.086,-0.0151048,-0.00198906
13.95,0.05,-508.451,-0.0108337,-0.00227338
14.05,0.05,-504.069,-0.00600081,-0.00255078
14.15,0.05,-499.909,-0.000631802,-0.00280954
14.25,0.05,-495.928,0.00522188,-0.00303546
14.35,0.05,-492.08,0.0114794,-0.0032134
14.45,0.05,-488.312,0.0180304,-0.00332893
14.55,0.05,-484.57,0.0247377,-0.00336973
14.65,0.05,-480.786,0.0314429,-0.00332687
14.75,0.05,-476.887,0.0379744,-0.00319599
14.85,0.05,-472.801,0.0441558,-0.0029769
14.95,0.05,-468.468,0.0498127,-0.00267136
15.05,0.05,-463.837,0.0547733,-0.00228076
15.15,0.05,-458.891,0.0588715,-0.00180898
15.25,0.05,-453.666,0.0619667,-0.00127768
15.35,0.05,-448.278,0.0640074,-0.000754622
15.45,0.05,-442.997,0.0651436,-0.000373106
15.55,0.05,-438.373,0.0658193,-0.000294249
15.65,0.05,-435.27,0.0666891,-0.000567158
15.75,0.05,-434.762,0.068206,-0.000941391
15.85,0.05,-437.107,0.070199,-0.0010443
15.95,0.05,-453.297,0.0699142,0.00133246
0.05,0.15,1697.77,1.01231,0.0688041
0.15,0.15,1658.48,1.03029,0.0956082
0.25,0.15,1610.4,1.03377,0.103185
0.35,0.15,1570.9,1.02331,0.10071
0.45,0.15,1536.44,1.00264,0.0926168
0.55,0.15,1505.78,0.97535,0.0815343
0.65,0.15,1479.34,0.944435,0.0692807
0.75,0.15,1457.24,0.912303,0.0571549
0.85,0.15,1438.96,0.880832,0.0460074
0.95,0.15,1423.65,0.851406,0.0362843
1.05,0.15,1410.38,0.824954,0.0281055
1.15,0.15,1398.35,0.802006,0.021371
1.25,0.15,1386.91,0.782772,0.0158676
1.35,0.15,1375.61,0.767228,0.0113507
1.45,0.15,1364.12,0.755205,0.00759436
1.55,0.15,1352.24,0.746454,0.00441266
1.65,0.15,1339.83,0.740697,0.0016651
1.75,0.15,1326.77,0.73766,-0.000749077
1.85,0.15,1313,0.737083,-0.00289932
1.95,0.15,1298.44,0.738732,-0.00483087
2.05,0.15,1283.05,0.742393,-0.00657197
2.15,0.15,1266.76,0.747871,-0.00813745
2.25,0.15,1249.55,0.754982,-0.00953319
2.35,0.15,1231.37,0.763551,-0.0107584
2.45,0.15,1212.2,0.773403,-0.011806
2.55,0.15,1192.03,0.784361,-0.012666
2.65,0.15,1170.84,0.796243,-0.0133253
2.75,0.15,1148.67,0.808856,-0.0137695
2.85,0.15,1125.54,0.822,-0.0139838
2.95,0.15,1101.52,0.835461,-0.0139554
3.05,0.15,1076.68,0.849018,-0.013673
3.15,0.15,1051.12,0.862441,-0.0131305
3.25,0.15,1024.97,0.875496,-0.0123257
3.35,0.15,998.38,0.887945,-0.0112628
3.45,0.15,971.514,0.899555,-0.00995206
3.55,0.15,944.555,0.9101,-0.00841026
3.65,0.15,917.698,0.919365,-0.00666021
3.75,0.15,891.143,0.927151,-0.00472961
3.85,0.15,865.094,0.93328,-0.00265086
3.95,0.15,839.75,0.937597,-0.000458502
4.05,0.15,815.3,0.939972,0.00181155
4.15,0.15,791.922,0.9403,0.00412381
4.25,0.15,769.775,0.938504,0.00644438
4.35,0.15,749,0.934533,0.00874202
4.45,0.15,729.716,0.928358,0.0109886
4.55,0.15,712.018,0.919977,0.0131605
4.65,0.15,695.98,0.909405,0.0152374
4.75,0.15,681.654,0.896679,0.0172034
4.85,0.15,669.07,0.881848,0.0190459
4.95,0.15,658.238,0.864981,0.0207552
5.05,0.15,649.148,0.846156,0.0223247
5.15,0.15,641.774,0.825464,0.0237493
5.25,0.15,636.072,0.803009,0.0250258
5.35,0.15,631.986,0.778901,0.0261521
5.45,0.15,629.454,0.753262,0.0271266
5.55,0.15,628.394,0.726221,0.0279496
5.65,0.15,628.718,0.697918,0.028622
5.75,0.15,630.328,0.668502,0.0291487
5.85,0.15,633.115,0.638143,0.0295426
5.95,0.15,636.957,0.607004,0.0297569
6.05,0.15,641.772,0.57524,0.0298021
6.15,0.15,647.464,0.543023,0.0296923
6.25,0.15,653.924,0.510536,0.0294362
6.35,0.15,661.045,0.477964,0.0290402
6.45,0.15,668.723,0.445489,0.0285107
6.55,0.15,676.857,0.41329,0.0278552
6.65,0.15,685.349,0.381539,0.0270826
6.75,0.15,694.11,0.350402,0.0262028
6.85,0.15,703.054,0.32003,0.0252223
6.95,0.15,712.104,0.290565,0.0241557
7.05,0.15,721.191,0.262132,0.0230159
7.15,0.15,730.245,0.23482,0.0218129
7.25,0.15,739.201,0.208624,0.0205765
7.35,0.15,747.925,0.183662,0.0193462
7.45,0.15,756.413,0.160167,0.01806
7.55,0.15,764.703,0.138229,0.0167154
7.65,0.15,772.768,0.117878,0.0153286
7.75,0.15,780.586,0.0991519,0.0139036
7.85,0.15,788.135,0.0820891,0.0124635
7.95,0.15,795.398,0.0667444,0.0109985
8.05,0.15,802.34,0.0530738,0.00981487
8.15,0.15,808.981,0.0410425,0.00866143
8.25,0.15,815.384,0.0308118,0.00741616
8.35,0.15,821.62,0.0227249,0.0058902
8.45,0.15,827.792,0.0174524,0.00372079
8.55,0.15,834.043,0.0163093,1.97141e-05
8.65,0.15,840.539,0.0217898,-0.00687733
8.75,0.15,847.357,0.0382469,-0.0196968
8.85,0.15,854.076,0.0732644,-0.0432937
8.95,0.15,858.801,0.140199,-0.0854062
9.05,0.15,856.98,0.261726,-0.162901
9.15,0.15,833.501,0.446404,-0.267582
9.25,0.15,755.832,0.693386,-0.38362
9.35,0.15,570.489,1.00531,-0.461647
9.45,0.15,248.036,1.26409,-0.247708
9.55,0.15,-16.1332,1.3887,-0.0855801
9.65,0.15,-187.614,1.43801,0.00961786
9.75,0.15,-294.984,1.44894,0.0570672
9.85,0.15,-370.2,1.44119,0.0750108
9.95,0.15,-432.879,1.42488,0.0765405
10.05,0.15,-491.575,1.40503,0.0703225
10.15,0.15,-548.689,1.38385,0.0620035
10.25,0.15,-604.096,1.36182,0.0554184
10.35,0.15,-656.714,1.33785,0.0534674
10.45,0.15,-704.421,1.30886,0.0583011
10.55,0.15,-742.907,1.27024,0.0688313
10.65,0.15,-766.84,1.2215,0.0754037
10.75,0.15,-780.46,1.16583,0.0783054
10.85,0.15,-787.213,1.10449,0.079937
10.95,0.15,-788.502,1.03721,0.0817666
11.05,0.15,-785.081,0.963336,0.0839298
11.15,0.15,-777.665,0.882755,0.0857143
11.25,0.15,-767.454,0.796386,0.0863066
11.35,0.15,-755.703,0.706128,0.0851471
11.45,0.15,-743.637,0.614386,0.0817307
11.55,0.15,-731.154,0.523855,0.0763182
11.65,0.15,-717.195,0.437359,0.0694671
11.75,0.15,-703.126,0.357284,0.0618863
11.85,0.15,-689.51,0.285145,0.0540836
11.95,0.15,-676.072,0.221262,0.0464668
12.05,0.15,-663.046,0.166072,0.039441
12.15,0.15,-650.418,0.119877,0.0326531
12.25,0.15,-638.242,0.0817946,0.0261946
12.35,0.15,-626.599,0.0506676,0.0205507
12.45,0.15,-615.57,0.025001,0.016768
12.55,0.15,-605.167,0.00360342,0.0137004
12.65,0.15,-595.364,-0.013965,0.0108801
12.75,0.15,-586.125,-0.0281113,0.00841096
12.85,0.15,-577.405,-0.0394123,0.00646897
12.95,0.15,-569.167,-0.0483454,0.0047903
13.05,0.15,-561.387,-0.0551493,0.00323117
13.15,0.15,-554.041,-0.0599976,0.00176614
13.25,0.15,-547.106,-0.0630546,0.00038041
13.35,0.15,-540.561,-0.0644671,-0.000936872
13.45,0.15,-534.373,-0.0643611,-0.0021976
13.55,0.15,-528.53,-0.0628407,-0.00341545
13.65,0.15,-523.019,-0.0599868,-0.00460673
13.75,0.15,-517.825,-0.0558594,-0.00578507
13.85,0.15,-512.921,-0.0505058,-0.00695283
13.95,0.15,-508.279,-0.0439755,-0.00809622
14.05,0.15,-503.88,-0.0363351,-0.00918631
14.15,0.15,-499.699,-0.027681,-0.0101823
14.25,0.15,-495.692,-0.0181471,-0.0110355
14.35,0.15,-491.815,-0.0079089,-0.0116943
14.45,0.15,-488.021,0.00281721,-0.0121104
14.55,0.15,-484.268,0.0137795,-0.0122431
14.65,0.15,-480.495,0.0246998,-0.0120643
14.75,0.15,-476.636,0.0352873,-0.0115628
14.85,0.15,-472.63,0.0452546,-0.0107442
14.95,0.15,-468.427,0.0543335,-0.00962523
15.05,0.15,-463.983,0.0622889,-0.00822835
15.15,0.15,-459.289,0.0689349,-0.00659112
15.25,0.15,-454.373,0.0741724,-0.00481375
15.35,0.15,-449.338,0.0780712,-0.00314371
